converter_id;name;key;use_id;sector_id;energy_balance_group_id;co2_free;preset_demand;demand_expected_value;network_capacity_available_in_mw;network_capacity_used_in_mw;technical_lifetime;average_effective_output_of_nominal_capacity_over_lifetime;construction_time;costs_per_mj;network_expansion_costs_in_euro_per_mw;ccs_investment_per_mw_input;ccs_operation_and_maintenance_cost_per_full_load_hour;typical_nominal_input_capacity;decommissioning_costs_per_mw_input;full_load_hours;residual_value_per_mw_input;operation_and_maintenance_cost_fixed_per_mw_input;wacc;operation_and_maintenance_cost_variable_per_full_load_hour;land_use_per_unit;installing_costs_per_mw_input;purchase_price_per_mw_input;economic_lifetime;part_ets;simult_sd;simult_se;simult_wd;simult_we;peak_load_units_present;availability;variability;;;;;;;;;;;;;;;;;
138;oil import;oil_import_export;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;gas import;gas_import_export;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;biomass import;biomass_import_export;3;5;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;diesel import;diesel_import_export;3;3;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;gasoline import;gasoline_import_export;3;3;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;kerosine import;kerosine_import_export;3;3;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;bio-diesel import;bio_diesel_import_export;1;3;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;bio-ethanol import;bio_ethanol_import_export;1;3;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;LPG import;lpg_import_export;3;3;;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;planes_gasoline;planes_gasoline;1;3;11;0;NULL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;oil demand other non energy;oil_demand;2;6;13;1;1329678510.21342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;Oil demand industry non energy;oil_demand;2;2;13;1;31691149277.826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;Gas demand industry non energy;gas_demand;2;2;13;1;9681056603.14919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;Biomass demand industry non energy;biomass_demand;2;2;13;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;gas hot water combi;cv_hot_water;1;1;11;0;NULL;6801025953.84075;;;15;1;0;;;0;0;0.0181818181818182;0;700.8;0;11737;0.04;0;0;0;138710;15;0;;;;;;0;0;;;;;;;;;;;;;;;;;
160;Coal demand industry energetic;coal_demand;1;2;13;0;NULL;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;Electricity demand non energetic industry;electricity_demand;2;2;13;1;1946582175.54335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;energetic use agriculture electricity;electricity;1;4;14;0;NULL;1400062065.11742;0;0;0;0;;0;0;;;0;;5957;;;0;;;;;0;;;;;;;0;0.08;;;;;;;;;;;;;;;;;
