sector_label,use,emissions_sector,emissions_subsector,ipcc_crt_code_agg,ipcc_crt_code,ipcc_crt_category,crt_subcategory_1st_order,ipcc_crt_subcategory_2nd_order,ipcc_crt_subcategory_3rd_order
buildings_space_heating,energetic,Buildings,Space heating,1.A.4.a,1.A.4.a,Energy,Fuel combustion activities,Other sectors,Commercial/institutional
buildings_cooling,energetic,Buildings,Cooling,1.A.4.a,1.A.4.a,Energy,Fuel combustion activities,Other sectors,Commercial/institutional
buildings_appliances,energetic,Buildings,Appliances,1.A.4.a,1.A.4.a,Energy,Fuel combustion activities,Other sectors,Commercial/institutional
buildings_lighting,energetic,Buildings,Lighting,1.A.4.a,1.A.4.a,Energy,Fuel combustion activities,Other sectors,Commercial/institutional
households_non_specified,energetic,Households,Non-specified,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
households_cooking,energetic,Households,Cooking,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
households_space_heating,energetic,Households,Space heating,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
households_hot_water,energetic,Households,Hot water,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
households_cooling,energetic,Households,Cooling,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
households_appliances,energetic,Households,Appliances,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
households_lighting,energetic,Households,Lighting,1.A.4.b,1.A.4.b,Energy,Fuel combustion activities,Other sectors,Residential
agriculture_non_specified,energetic,Agriculture,Non-specified,1.A.4.c,1.A.4.c,Energy,Fuel combustion activities,Other sectors,Agriculture/forestry/fishing
agriculture_electricity_and_heat_production,energetic,Agriculture,Electricity and heat production,1.A.4.c,1.A.4.c,Energy,Fuel combustion activities,Other sectors,Agriculture/forestry/fishing
agriculture_heating,energetic,Agriculture,Heating,1.A.4.c,1.A.4.c,Energy,Fuel combustion activities,Other sectors,Agriculture/forestry/fishing
other_non_specified,energetic,Other,Non-specified,1.A.5,1.A.5,Energy,Fuel combustion activities,Other,-
other_heating,energetic,Other,Heating,1.A.5,1.A.5,Energy,Fuel combustion activities,Other,-
energy_fugitive_emissions,non_energetic,Energy,Fugitive emissions,1.B,1.B excl. 1.B.2.a.iv,Energy,Fugitive emissions from fuels,"Solid fuels, Oil and natural gas and other emissions from energy production",-
industry_refineries,non_energetic,Industry,Refineries,1.B,1.B.2.a.iv,Energy,Fugitive emissions from fuels,Oil and natural gas and other emissions from energy production,Refining/storage
energy_ccus,non_energetic,Energy,CCUS,1.C,1.C,Energy,CO2 Transport and storage,-,-
industry_non_specified,non_energetic,Industry,Non-specified,2,2,Industrial processes and product use,-,-,-
industry_other,non_energetic,Industry,Other,2,"2.A,D-G",Industrial processes and product use,"Mineral industry, Non-energy products from fuels and solvent use, Electronics industry, Product uses as substitutes for ODS, Other product manufacture and use",-,-
industry_fertilizers,non_energetic,Industry,Fertilizers,2,2.B.1-2,Industrial processes and product use,Chemical industry,"Ammonia production, Nitric acid production",-
industry_chemicals,non_energetic,Industry,Chemicals,2,"2.B.3-7,8.b-g,9,10.b",Industrial processes and product use,Chemical industry,"Adipic acid production, Caprolactam, glyoxal and glyoxylic acid production, Carbide production, Titanium dioxide production, Soda ash production, Petrochemical and carbon black production excl. Methanol, Fluorochemical production, Other excl. Hydrogen production",-
energy_methanol_production,non_energetic,Energy,Methanol production,2,2.B.8.a,Industrial processes and product use,Chemical industry,Petrochemical and carbon black production,Methanol
energy_hydrogen_production,non_energetic,Energy,Hydrogen production,2,2.B.10.a,Industrial processes and product use,Chemical industry,Other,Hydrogen Production
industry_steel,non_energetic,Industry,Steel,2,2.C.1,Industrial processes and product use,Metal industry,Iron and steel production,-
industry_aluminium,non_energetic,Industry,Aluminium,2,2.C.3,Industrial processes and product use,Metal industry,Aluminium production,-
industry_other_metals,non_energetic,Industry,Other metals,2,"2.C.2,4-7",Industrial processes and product use,Metal industry,"Ferroalloys production, Magnesium production, Lead production, Zinc production, Other",-
industry_paper,non_energetic,Industry,Paper,2,2.H.1,Industrial processes and product use,Other,Pulp and paper,-
industry_food,non_energetic,Industry,Food,2,2.H.2,Industrial processes and product use,Other,Food and beverages industry,-
agriculture_non_specified,non_energetic,Agriculture,Non-specified,3,3,Agriculture,-,-,-
lulucf_removals,non_energetic,LULUCF,Removals,4,4,"Land Use, Land-Use Change and Forestry",-,-,-
lulucf_emissions,non_energetic,LULUCF,Emissions,4,4,"Land Use, Land-Use Change and Forestry",-,-,-
waste_non_specified,non_energetic,Waste,Non-specified,5,5,Waste,-,-,-
other_indirect_emissions,non_energetic,Other,Indirect emissions,ind_CO2,ind_CO2,Indirect CO2 emissions,-,-,-
bunkers_international_aviation,energetic,International transport,International aviation,1.D.1,1.D.1.a,Energy,Memo items,International bunkers,International aviation (aviation bunkers)
bunkers_international_navigation,energetic,International transport,International navigation,1.D.1,1.D.1.b,Energy,Memo items,International bunkers,International navigation (marine bunkers)
