from,to,carrier,attribute,query
buildings_final_demand_electricity,buildings_final_demand_for_appliances_electricity,electricity,parent_share,"SHARE(buildings_final_demand_electricity_parent_share, buildings_final_demand_for_appliances_electricity)"
buildings_final_demand_for_lighting_electricity,buildings_lighting_incandescent_lamp_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_lighting_electricity_parent_share, buildings_lighting_incandescent_lamp_electricity)"
buildings_final_demand_for_lighting_electricity,buildings_lighting_fluorescent_lamp_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_lighting_electricity_parent_share, buildings_lighting_fluorescent_lamp_electricity)"
buildings_final_demand_for_lighting_electricity,buildings_lighting_standard_fluorescent_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_lighting_electricity_parent_share, buildings_lighting_standard_fluorescent_electricity)"
buildings_final_demand_for_lighting_electricity,buildings_lighting_efficient_fluorescent_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_lighting_electricity_parent_share, buildings_lighting_efficient_fluorescent_electricity)"
buildings_final_demand_for_lighting_electricity,buildings_lighting_led_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_lighting_electricity_parent_share, buildings_lighting_led_electricity)"
buildings_final_demand_for_space_heating_electricity,buildings_space_heater_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_space_heating_electricity_parent_share, buildings_space_heater_electricity)"
buildings_final_demand_for_space_heating_electricity,buildings_space_heater_collective_heatpump_water_water_ts_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_space_heating_electricity_parent_share, buildings_space_heater_collective_heatpump_water_water_ts_electricity)"
buildings_final_demand_for_cooling_electricity,buildings_cooling_airconditioning_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_cooling_electricity_parent_share, buildings_cooling_airconditioning_electricity)"
buildings_final_demand_for_cooling_electricity,buildings_cooling_collective_heatpump_water_water_ts_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_cooling_electricity_parent_share, buildings_cooling_collective_heatpump_water_water_ts_electricity)"
buildings_final_demand_for_cooling_electricity,buildings_cooling_collective_cooling_network_electricity,electricity,parent_share,"SHARE(buildings_final_demand_for_cooling_electricity_parent_share, buildings_cooling_collective_cooling_network_electricity)"
buildings_final_demand_for_space_heating_gas,buildings_space_heater_network_gas,network_gas,parent_share,"SHARE(buildings_final_demand_for_space_heating_gas_parent_share, buildings_space_heater_network_gas)"
buildings_final_demand_for_space_heating_gas,buildings_space_heater_heatpump_air_water_network_gas,network_gas,parent_share,"SHARE(buildings_final_demand_for_space_heating_gas_parent_share, buildings_space_heater_heatpump_air_water_network_gas)"
buildings_heating_savings_from_insulation_useable_heat,buildings_useful_demand_for_space_heating,useable_heat,child_share,"SHARE(buildings_useful_demand_for_space_heating_child_share, buildings_heating_savings_from_insulation_useable_heat)"
buildings_useful_demand_for_space_heating_after_insulation_recirculation,buildings_useful_demand_for_space_heating_after_insulation,useable_heat,child_share,"SHARE(buildings_useful_demand_for_space_heating_after_insulation_child_share, buildings_useful_demand_for_space_heating_after_insulation_recirculation)"
buildings_useful_demand_for_space_heating_after_insulation_recirculation_recovery,buildings_useful_demand_for_space_heating_after_insulation_recirculation,useable_heat,child_share,"SHARE(buildings_useful_demand_for_space_heating_after_insulation_recirculation_child_share, buildings_useful_demand_for_space_heating_after_insulation_recirculation_recovery)"
buildings_cooling_savings_insulation_cooling,buildings_useful_demand_cooling,cooling,child_share,"SHARE(buildings_useful_demand_cooling_child_share, buildings_cooling_savings_insulation_cooling)"
buildings_useful_demand_after_insulation_recirculation_cooling,buildings_useful_demand_after_insulation_cooling,cooling,child_share,"SHARE(buildings_useful_demand_after_insulation_cooling_child_share, buildings_useful_demand_after_insulation_recirculation_cooling)"
buildings_useful_demand_after_insulation_recirculation_recovery_cooling,buildings_useful_demand_after_insulation_recirculation_cooling,cooling,child_share,"SHARE(buildings_useful_demand_after_insulation_recirculation_cooling_child_share, buildings_useful_demand_after_insulation_recirculation_recovery_cooling)"
buildings_useful_demand_after_motion_detection_light,buildings_useful_demand_light,light,child_share,"SHARE(buildings_useful_demand_light_child_share, buildings_useful_demand_after_motion_detection_light)"
buildings_useful_demand_after_motion_detection_daylight_control_light,buildings_useful_demand_after_motion_detection_light,light,child_share,"SHARE(buildings_useful_demand_after_motion_detection_light_child_share, buildings_useful_demand_after_motion_detection_daylight_control_light)"
