present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75,2309.107143,2624.464286,2939.821429,3255.178571,3570.535714,3885.892857,4201.25,4516.607143,4831.964286,5147.321429,5462.678571,5778.035714,6093.392857,6408.75,6724.107143,7039.464286,7354.821429,7670.178571,7985.535714,8300.892857,8616.25,8931.607143,9246.964286,9562.321429,9877.678571,10193.03571,10508.39286,10823.75,11139.10714,11454.46429,11769.82143,12085.17857,12400.53571,12715.89286,13031.25
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,2130.357143,2448.214286,2766.071429,3083.928571,3401.785714,3719.642857,4037.5,4355.357143,4673.214286,4991.071429,5308.928571,5626.785714,5944.642857,6262.5,6580.357143,6898.214286,7216.071429,7533.928571,7851.785714,8169.642857,8487.5,8805.357143,9123.214286,9441.071429,9758.928571,10076.78571,10394.64286,10712.5,11030.35714,11348.21429,11666.07143,11983.92857,12301.78571,12619.64286,12937.5
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1951.607143,2271.964286,2592.321429,2912.678571,3233.035714,3553.392857,3873.75,4194.107143,4514.464286,4834.821429,5155.178571,5475.535714,5795.892857,6116.25,6436.607143,6756.964286,7077.321429,7397.678571,7718.035714,8038.392857,8358.75,8679.107143,8999.464286,9319.821429,9640.178571,9960.535714,10280.89286,10601.25,10921.60714,11241.96429,11562.32143,11882.67857,12203.03571,12523.39286,12843.75
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1450,1772.857143,2095.714286,2418.571429,2741.428571,3064.285714,3387.142857,3710,4032.857143,4355.714286,4678.571429,5001.428571,5324.285714,5647.142857,5970,6292.857143,6615.714286,6938.571429,7261.428571,7584.285714,7907.142857,8230,8552.857143,8875.714286,9198.571429,9521.428571,9844.285714,10167.14286,10490,10812.85714,11135.71429,11458.57143,11781.42857,12104.28571,12427.14286,12750
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1268.75,1594.107143,1919.464286,2244.821429,2570.178571,2895.535714,3220.892857,3546.25,3871.607143,4196.964286,4522.321429,4847.678571,5173.035714,5498.392857,5823.75,6149.107143,6474.464286,6799.821429,7125.178571,7450.535714,7775.892857,8101.25,8426.607143,8751.964286,9077.321429,9402.678571,9728.035714,10053.39286,10378.75,10704.10714,11029.46429,11354.82143,11680.17857,12005.53571,12330.89286,12656.25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1087.5,1415.357143,1743.214286,2071.071429,2398.928571,2726.785714,3054.642857,3382.5,3710.357143,4038.214286,4366.071429,4693.928571,5021.785714,5349.642857,5677.5,6005.357143,6333.214286,6661.071429,6988.928571,7316.785714,7644.642857,7972.5,8300.357143,8628.214286,8956.071429,9283.928571,9611.785714,9939.642857,10267.5,10595.35714,10923.21429,11251.07143,11578.92857,11906.78571,12234.64286,12562.5
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,906.25,1236.607143,1566.964286,1897.321429,2227.678571,2558.035714,2888.392857,3218.75,3549.107143,3879.464286,4209.821429,4540.178571,4870.535714,5200.892857,5531.25,5861.607143,6191.964286,6522.321429,6852.678571,7183.035714,7513.392857,7843.75,8174.107143,8504.464286,8834.821429,9165.178571,9495.535714,9825.892857,10156.25,10486.60714,10816.96429,11147.32143,11477.67857,11808.03571,12138.39286,12468.75
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,725,1057.857143,1390.714286,1723.571429,2056.428571,2389.285714,2722.142857,3055,3387.857143,3720.714286,4053.571429,4386.428571,4719.285714,5052.142857,5385,5717.857143,6050.714286,6383.571429,6716.428571,7049.285714,7382.142857,7715,8047.857143,8380.714286,8713.571429,9046.428571,9379.285714,9712.142857,10045,10377.85714,10710.71429,11043.57143,11376.42857,11709.28571,12042.14286,12375
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,543.75,879.1071429,1214.464286,1549.821429,1885.178571,2220.535714,2555.892857,2891.25,3226.607143,3561.964286,3897.321429,4232.678571,4568.035714,4903.392857,5238.75,5574.107143,5909.464286,6244.821429,6580.178571,6915.535714,7250.892857,7586.25,7921.607143,8256.964286,8592.321429,8927.678571,9263.035714,9598.392857,9933.75,10269.10714,10604.46429,10939.82143,11275.17857,11610.53571,11945.89286,12281.25
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.25,362.5,700.3571429,1038.214286,1376.071429,1713.928571,2051.785714,2389.642857,2727.5,3065.357143,3403.214286,3741.071429,4078.928571,4416.785714,4754.642857,5092.5,5430.357143,5768.214286,6106.071429,6443.928571,6781.785714,7119.642857,7457.5,7795.357143,8133.214286,8471.071429,8808.928571,9146.785714,9484.642857,9822.5,10160.35714,10498.21429,10836.07143,11173.92857,11511.78571,11849.64286,12187.5
