key,demand,input_of_electricity,input_of_network_gas,input_of_coal,input_of_crude_oil,input_of_wood_pellets,input_of_steam_hot_water,input_of_coal_gas,input_of_useable_heat,input_of_hydrogen,input_of_diesel,input_of_biodiesel,input_of_gasoline,input_of_bio_ethanol,output_of_useable_heat
buildings_space_heater_district_heating_steam_hot_water,7804752249.999999,0.0,0.0,0.0,0.0,0.0,7804752249.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7804752249.999999
buildings_final_demand_for_space_heating_steam_hot_water,7804752249.999999,0.0,0.0,0.0,0.0,0.0,7804752249.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_collective_heatpump_water_water_ts_electricity,3707195021.8984904,985956122.8453432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707195021.8984904
buildings_final_demand_for_space_heating_electricity,985956122.8453432,985956122.8453432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_appliances_network_gas,3799218372.845341,0.0,3799218372.845341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_steam_hot_water,7804752249.999999,0.0,0.0,0.0,0.0,0.0,7804752249.999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_appliances_electricity,49844413877.154594,49844413877.154594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_appliances_electricity,49844413877.154594,49844413877.154594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_cooling_electricity,16800000000.000072,16800000000.000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_space_heating_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_coal,39980000.0,0.0,0.0,39980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_lighting_led_electricity,213489111.66768673,213489111.66768673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_lighting_electricity,37599999999.999985,37599999999.999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_electricity,105230370000.0,105230370000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_air_water_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_wood_pellets,591890000.0,0.0,0.0,0.0,0.0,591890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485349800.0
buildings_final_demand_for_space_heating_wood_pellets,591890000.0,0.0,0.0,0.0,0.0,591890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_wood_pellets,591890000.0,0.0,0.0,0.0,0.0,591890000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
