present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
10,0,0,0,0,0,0,0,0,0,0,0,359.0980275,726.3573737,1102.059464,1486.498811,1879.983791,2282.83746,2695.398447,3118.021897,3551.080494,3994.965556,4450.088214,4916.880684,5395.797633,5887.317661,6391.944889,6910.210691,7442.675556,7989.931111,8552.602316,9131.349841,9726.872657,10339.91085,10971.24869,11621.71798,12292.20171,12983.63806,13697.02476,14433.42394,15193.96736,15979.86222,16792.39759,17632.95142,18502.99836,19404.11841,20338.00646,21306.48296,22311.50574,23355.18325,24439.78928,25567.77956,26741.81025,27964.75889,29239.7479,30570.17121,31959.72444,33412.43919,34932.72207,36525.39937,38195.76824,39949.65556,41793.48581,43734.35977,45780.14583,47939.58667,50222.42413,52639.54614,55203.1604,57927.00056,60826.57233,63919.44889,67225.62728,70767.96127,74572.69037,78670.09094,83095.28356,87889.24222,93100.06686
11,0,0,0,0,0,0,0,0,0,0,0,0,367.2593463,742.9614361,1127.400784,1520.885763,1923.739433,2336.30042,2758.92387,3191.982466,3635.867528,4090.990186,4557.782656,5036.699606,5528.219633,6032.846861,6551.112663,7083.577528,7630.833084,8193.504289,8772.251814,9367.77463,9980.812822,10612.15066,11262.61995,11933.10368,12624.54003,13337.92673,14074.32592,14834.86933,15620.76419,16433.29956,17273.85339,18143.90034,19045.02039,19978.90844,20947.38494,21952.40772,22996.08522,24080.69125,25208.68153,26382.71222,27605.66086,28880.64987,30211.07318,31600.62642,33053.34116,34573.62404,36166.30134,37836.67021,39590.55753,41434.38778,43375.26174,45421.0478,47580.48864,49863.3261,52280.44812,54844.06238,57567.90253,60467.4743,63560.35086,66866.52925,70408.86324,74213.59234,78310.99291,82736.18553,87530.14419,92740.96883
12,0,0,0,0,0,0,0,0,0,0,0,0,0,375.7020899,760.1414376,1153.626417,1556.480087,1969.041073,2391.664523,2824.72312,3268.608182,3723.73084,4190.52331,4669.44026,5160.960287,5665.587515,6183.853317,6716.318182,7263.573737,7826.244942,8404.992468,9000.515283,9613.553476,10244.89132,10895.36061,11565.84434,12257.28068,12970.66739,13707.06657,14467.60999,15253.50485,16066.04022,16906.59404,17776.64099,18677.76104,19611.64909,20580.12559,21585.14837,22628.82587,23713.43191,24841.42218,26015.45288,27238.40152,28513.39052,29843.81383,31233.36707,32686.08182,34206.36469,35799.04199,37469.41086,39223.29818,41067.12844,43008.00239,45053.78845,47213.22929,49496.06675,51913.18877,54476.80303,57200.64318,60100.21496,63193.09152,66499.26991,70041.6039,73846.333,77943.73357,82368.92618,87162.88485,92373.70949
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.4393478,777.9243272,1180.777997,1593.338984,2015.962433,2449.02103,2892.906092,3348.02875,3814.82122,4293.73817,4785.258197,5289.885425,5808.151227,6340.616092,6887.871648,7450.542853,8029.290378,8624.813193,9237.851386,9869.189226,10519.65852,11190.14225,11881.57859,12594.9653,13331.36448,14091.9079,14877.80276,15690.33813,16530.89195,17400.9389,18302.05895,19235.947,20204.4235,21209.44628,22253.12378,23337.72982,24465.72009,25639.75079,26862.69943,28137.68843,29468.11174,30857.66498,32310.37973,33830.6626,35423.3399,37093.70877,38847.59609,40691.42635,42632.3003,44678.08636,46837.5272,49120.36466,51537.48668,54101.10094,56824.94109,59724.51287,62817.38943,66123.56782,69665.90181,73470.63091,77568.03148,81993.22409,86787.18276,91998.0074
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.4849795,796.3386489,1208.899636,1631.523086,2064.581682,2508.466744,2963.589402,3430.381872,3909.298822,4400.818849,4905.446078,5423.711879,5956.176744,6503.4323,7066.103505,7644.85103,8240.373846,8853.412038,9484.749879,10135.21917,10805.7029,11497.13924,12210.52595,12946.92513,13707.46855,14493.36341,15305.89878,16146.45261,17016.49955,17917.6196,18851.50765,19819.98415,20825.00693,21868.68444,22953.29047,24081.28074,25255.31144,26478.26008,27753.24908,29083.6724,30473.22563,31925.94038,33446.22326,35038.90055,36709.26943,38463.15674,40306.987,42247.86095,44293.64701,46453.08786,48735.92532,51153.04733,53716.66159,56440.50174,59340.07352,62432.95008,65739.12847,69281.46246,73086.19156,77183.59213,81608.78474,86402.74341,91613.56805
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.8536695,815.4146563,1238.038106,1671.096703,2114.981765,2570.104423,3036.896893,3515.813843,4007.33387,4511.961098,5030.2269,5562.691765,6109.94732,6672.618525,7251.36605,7846.888866,8459.927059,9091.264899,9741.734189,10412.21792,11103.65426,11817.04097,12553.44015,13313.98357,14099.87843,14912.4138,15752.96763,16623.01457,17524.13462,18458.02267,19426.49917,20431.52195,21475.19946,22559.80549,23687.79576,24861.82646,26084.7751,27359.76411,28690.18742,30079.74065,31532.4554,33052.73828,34645.41557,36315.78445,38069.67176,39913.50202,41854.37598,43900.16203,46059.60288,48342.44034,50759.56235,53323.17661,56047.01676,58946.58854,62039.4651,65345.64349,68887.97748,72692.70658,76790.10715,81215.29976,86009.25843,91220.08307
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.5609868,835.1844367,1268.243034,1712.128095,2167.250753,2634.043223,3112.960173,3604.480201,4109.107429,4627.37323,5159.838095,5707.093651,6269.764856,6848.512381,7444.035197,8057.073389,8688.41123,9338.880519,10009.36425,10700.8006,11414.1873,12150.58648,12911.1299,13697.02476,14509.56013,15350.11396,16220.1609,17121.28095,18055.169,19023.6455,20028.66828,21072.34579,22156.95182,23284.9421,24458.97279,25681.92143,26956.91044,28287.33375,29676.88698,31129.60173,32649.88461,34242.5619,35912.93078,37666.8181,39510.64835,41451.52231,43497.30837,45656.74921,47939.58667,50356.70868,52920.32294,55644.1631,58543.73487,61636.61143,64942.78982,68485.12381,72289.85291,76387.25348,80812.4461,85606.40476,90817.2294
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.6234499,855.6820467,1299.567108,1754.689767,2221.482237,2700.399186,3191.919214,3696.546442,4214.812244,4747.277108,5294.532664,5857.203869,6435.951394,7031.47421,7644.512403,8275.850243,8926.319533,9596.803262,10288.23961,11001.62631,11738.0255,12498.56891,13284.46378,14096.99914,14937.55297,15807.59992,16708.71997,17642.60802,18611.08452,19616.1073,20659.7848,21744.39083,22872.38111,24046.4118,25269.36044,26544.34945,27874.77276,29264.326,30717.04074,32237.32362,33830.00092,35500.36979,37254.25711,39098.08736,41038.96132,43084.74738,45244.18822,47527.02568,49944.1477,52507.76196,55231.60211,58131.17388,61224.05044,64530.22883,68072.56282,71877.29192,75974.69249,80399.88511,85193.84378,90404.66841
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.0585968,876.9436585,1332.066317,1798.858787,2277.775736,2769.295764,3273.922992,3792.188794,4324.653659,4871.909214,5434.580419,6013.327944,6608.85076,7221.888953,7853.226793,8503.696083,9174.179812,9865.616159,10579.00286,11315.40205,12075.94546,12861.84033,13674.37569,14514.92952,15384.97647,16286.09652,17219.98457,18188.46107,19193.48385,20237.16135,21321.76738,22449.75766,23623.78835,24846.73699,26121.726,27452.14931,28841.70255,30294.41729,31814.70017,33407.37747,35077.74634,36831.63366,38675.46391,40616.33787,42662.12393,44821.56477,47104.40223,49521.52425,52085.13851,54808.97866,57708.55043,60801.42699,64107.60538,67649.93937,71454.66847,75552.06904,79977.26166,84771.22033,89982.04496
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.8850617,899.00772,1365.80019,1844.71714,2336.237167,2840.864395,3359.130197,3891.595062,4438.850617,5001.521822,5580.269347,6175.792163,6788.830356,7420.168196,8070.637486,8741.121216,9432.557562,10145.94427,10882.34345,11642.88687,12428.78173,13241.3171,14081.87092,14951.91787,15853.03792,16786.92597,17755.40247,18760.42525,19804.10275,20888.70879,22016.69906,23190.72976,24413.6784,25688.6674,27019.09071,28408.64395,29861.3587,31381.64157,32974.31887,34644.68774,36398.57506,38242.40532,40183.27927,42229.06533,44388.50617,46671.34363,49088.46565,51652.07991,54375.92006,57275.49184,60368.3684,63674.54679,67216.88078,71021.60988,75119.01045,79544.20306,84338.16173,89548.98637
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.1226582,921.9151282,1400.832078,1892.352105,2396.979333,2915.245135,3447.71,3994.965556,4557.636761,5136.384286,5731.907101,6344.945294,6976.283134,7626.752424,8297.236154,8988.6725,9702.059206,10438.45839,11199.0018,11984.89667,12797.43203,13637.98586,14508.03281,15409.15286,16343.04091,17311.51741,18316.54019,19360.21769,20444.82373,21572.814,22746.84469,23969.79333,25244.78234,26575.20565,27964.75889,29417.47364,30937.75651,32530.43381,34200.80268,35954.69,37798.52026,39739.39421,41785.18027,43944.62111,46227.45857,48644.58059,51208.19485,53932.035,56831.60677,59924.48333,63230.66172,66772.99571,70577.72481,74675.12538,79100.318,83894.27667,89105.1013
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.79247,945.7094197,1437.229447,1941.856675,2460.122477,2992.587342,3539.842897,4102.514102,4681.261627,5276.784443,5889.822636,6521.160476,7171.629766,7842.113496,8533.549842,9246.936548,9983.335729,10743.87915,11529.77401,12342.30938,13182.8632,14052.91015,14954.0302,15887.91825,16856.39475,17861.41753,18905.09503,19989.70107,21117.69134,22291.72204,23514.67068,24789.65968,26120.08299,27509.63623,28962.35098,30482.63385,32075.31115,33745.68002,35499.56734,37343.3976,39284.27155,41330.05761,43489.49845,45772.33591,48189.45793,50753.07219,53476.91234,56376.48412,59469.36068,62775.53907,66317.87306,70122.60216,74220.00273,78645.19534,83439.15401,88649.97865
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.9169497,970.4369771,1475.064205,1993.330007,2525.794872,3073.050427,3635.721632,4214.469158,4809.991973,5423.030166,6054.368006,6704.837296,7375.321026,8066.757372,8780.144078,9516.543259,10277.08668,11062.98154,11875.51691,12716.07073,13586.11768,14487.23773,15421.12578,16389.60228,17394.62506,18438.30256,19522.9086,20650.89887,21824.92957,23047.87821,24322.86721,25653.29052,27042.84376,28495.55851,30015.84138,31608.51868,33278.88755,35032.77487,36876.60513,38817.47908,40863.26514,43022.70598,45305.54344,47722.66546,50286.27972,53010.11987,55909.69165,59002.56821,62308.7466,65851.08059,69655.80969,73753.21026,78178.40287,82972.36154,88183.18618
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.5200273,996.1472554,1514.413057,2046.877922,2594.133478,3156.804683,3735.552208,4331.075024,4944.113216,5575.451056,6225.920346,6896.404076,7587.840422,8301.227128,9037.626309,9798.169725,10584.06459,11396.59996,12237.15378,13107.20073,14008.32078,14942.20883,15910.68533,16915.70811,17959.38561,19043.99165,20171.98192,21346.01262,22568.96126,23843.95026,25174.37357,26563.92681,28016.64156,29536.92443,31129.60173,32799.97061,34553.85792,36397.68818,38338.56213,40384.34819,42543.78903,44826.62649,47243.74851,49807.36277,52531.20292,55430.7747,58523.65126,61829.82965,65372.16364,69176.89274,73274.29331,77699.48592,82493.44459,87704.26923
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.6272281,1022.89303,1555.357895,2102.61345,2665.284655,3244.03218,3839.554996,4452.593189,5083.931029,5734.400319,6404.884049,7096.320395,7809.707101,8546.106282,9306.649698,10092.54456,10905.07993,11745.63376,12615.6807,13516.80075,14450.6888,15419.1653,16424.18808,17467.86559,18552.47162,19680.46189,20854.49259,22077.44123,23352.43024,24682.85355,26072.40678,27525.12153,29045.40441,30638.0817,32308.45058,34062.33789,35906.16815,37847.04211,39892.82817,42052.26901,44335.10647,46752.22848,49315.84274,52039.68289,54939.25467,58032.13123,61338.30962,64880.64361,68685.37271,72782.77328,77207.96589,82001.92456,87212.7492
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.2658018,1050.730667,1597.986222,2160.657427,2739.404952,3334.927768,3947.965961,4579.303801,5229.773091,5900.256821,6591.693167,7305.079873,8041.479054,8802.02247,9587.917333,10400.4527,11241.00653,12111.05347,13012.17352,13946.06158,14914.53807,15919.56086,16963.23836,18047.84439,19175.83467,20349.86536,21572.814,22847.80301,24178.22632,25567.77956,27020.4943,28540.77718,30133.45448,31803.82335,33557.71067,35401.54092,37342.41488,39388.20094,41547.64178,43830.47924,46247.60125,48811.21552,51535.05567,54434.62744,57527.504,60833.68239,64376.01638,68180.74548,72278.14605,76703.33867,81497.29733,86708.12197
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.4648649,1079.72042,1642.391625,2221.139151,2816.661966,3429.700159,4061.037999,4711.507289,5381.991019,6073.427365,6786.814071,7523.213252,8283.756668,9069.651532,9882.186899,10722.74073,11592.78767,12493.90772,13427.79577,14396.27227,15401.29505,16444.97256,17529.57859,18657.56886,19831.59956,21054.5482,22329.53721,23659.96052,25049.51375,26502.2285,28022.51138,29615.18867,31285.55755,33039.44486,34883.27512,36824.14908,38869.93514,41029.37598,43312.21344,45729.33545,48292.94971,51016.78986,53916.36164,57009.2382,60315.41659,63857.75058,67662.47968,71759.88025,76185.07286,80979.03153,86189.85617
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.2555556,1109.926761,1688.674286,2284.197101,2897.235294,3528.573134,4179.042424,4849.526154,5540.9625,6254.349206,6990.748387,7751.291803,8537.186667,9349.722034,10190.27586,11060.32281,11961.44286,12895.33091,13863.80741,14868.83019,15912.50769,16997.11373,18125.104,19299.13469,20522.08333,21797.07234,23127.49565,24517.04889,25969.76364,27490.04651,29082.72381,30753.09268,32506.98,34350.81026,36291.68421,38337.47027,40496.91111,42779.74857,45196.87059,47760.48485,50484.325,53383.89677,56476.77333,59782.95172,63325.28571,67130.01481,71227.41538,75652.608,80446.56667,85657.3913
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.671205,1141.41873,1736.941546,2349.979739,2981.317579,3631.786869,4302.270598,4993.706944,5707.093651,6443.492832,7204.036248,7989.931111,8802.466478,9643.020307,10513.06725,11414.1873,12348.07535,13316.55185,14321.57463,15365.25214,16449.85817,17577.84844,18751.87914,19974.82778,21249.81678,22580.2401,23969.79333,25422.50808,26942.79096,28535.46825,30205.83713,31959.72444,33803.5547,35744.42865,37790.21471,39949.65556,42232.49302,44649.61503,47213.22929,49937.06944,52836.64122,55929.51778,59235.69617,62778.03016,66582.75926,70680.15983,75105.35244,79899.31111,85110.13575
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.7475252,1174.270341,1787.308534,2418.646374,3069.115664,3739.599393,4431.035739,5144.422446,5880.821627,6641.365043,7427.259906,8239.795273,9080.349102,9950.396046,10851.5161,11785.40415,12753.88065,13758.90343,14802.58093,15887.18696,17015.17724,18189.20793,19412.15657,20687.14558,22017.56889,23407.12213,24859.83688,26380.11975,27972.79705,29643.16592,31397.05324,33240.8835,35181.75745,37227.54351,39386.98435,41669.82181,44086.94383,46650.55809,49374.39824,52273.97001,55366.84657,58673.02496,62215.35895,66020.08805,70117.48862,74542.68124,79336.63991,84547.46454
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.5228157,1208.561008,1839.898849,2490.368139,3160.851868,3852.288214,4565.674921,5302.074101,6062.617518,6848.512381,7661.047748,8501.601576,9371.648521,10272.76857,11206.65662,12175.13312,13180.1559,14223.83341,15308.43944,16436.42971,17610.46041,18833.40905,20108.39805,21438.82137,22828.3746,24281.08935,25801.37223,27394.04952,29064.4184,30818.30571,32662.13597,34603.00992,36648.79598,38808.23683,41091.07429,43508.1963,46071.81056,48795.65071,51695.22249,54788.09905,58094.27744,61636.61143,65441.34053,69538.7411,73963.93371,78757.89238,83968.71702
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.0381927,1244.376033,1894.845323,2565.329052,3256.765399,3970.152105,4706.551286,5467.094702,6252.989565,7065.524932,7906.078761,8776.125706,9677.245756,10611.13381,11579.61031,12584.63309,13628.31059,14712.91662,15840.9069,17014.93759,18237.88623,19512.87524,20843.29855,22232.85179,23685.56653,25205.84941,26798.52671,28468.89558,30222.7829,32066.61315,34007.48711,36053.27317,38212.71401,40495.55147,42912.67349,45476.28775,48200.1279,51099.69967,54192.57623,57498.75462,61041.08861,64845.81771,68943.21828,73368.4109,78162.36957,83373.1942
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.3378402,1281.80713,1952.29086,2643.727206,3357.113912,4093.513093,4854.056509,5639.951373,6452.48674,7293.040568,8163.087513,9064.207563,9998.095615,10966.57211,11971.59489,13015.2724,14099.87843,15227.86871,16401.8994,17624.84804,18899.83705,20230.26036,21619.81359,23072.52834,24592.81122,26185.48852,27855.85739,29609.74471,31453.57496,33394.44892,35440.23498,37599.67582,39882.51328,42299.63529,44863.24955,47587.08971,50486.66148,53579.53804,56885.71643,60428.05042,64232.77952,68330.18009,72755.37271,77549.33137,82760.15601
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.4692899,1320.95302,2012.389366,2725.776072,3462.175253,4222.718669,5008.613532,5821.1489,6661.702728,7531.749673,8432.869723,9366.757775,10335.23427,11340.25705,12383.93456,13468.54059,14596.53087,15770.56156,16993.5102,18268.49921,19598.92252,20988.47575,22441.1905,23961.47338,25554.15068,27224.51955,28978.40687,30822.23712,32763.11108,34808.89714,36968.33798,39251.17544,41668.29745,44231.91171,46955.75187,49855.32364,52948.2002,56254.37859,59796.71258,63601.44168,67698.84225,72124.03487,76917.99353,82128.81817
